,Title,Date,Time,Score,Comments
159,"Navy SEALs accused of profiteering, putting lives in danger",12-04-2017,23:57:01,71,32
160,Sewage pours into Upstate NY home; insurance and county wont help family,13-04-2017,03:50:35,33,12
161,Jurors due to deliberate Nevada case of Bundy ranch standoff,13-04-2017,12:17:04,6,0
162,The Air Force Turned an F-16 Fighter Into a Drone,13-04-2017,06:18:55,22,18
163,Police Officers Shouldnt do Airlines Dirty Work: San Francisco Supervisor,12-04-2017,06:51:07,1578,587
164,Hyundai And Kia Recall 1.5 Million Vehicles Over Engine Seizure Problem,12-04-2017,20:54:25,112,16
165,See dramatic before-and-after photos of water returning to California,13-04-2017,05:43:02,22,4
166,Memphis police body cameras lead to 39-percent drop in complaints,12-04-2017,01:33:09,3851,384
167,North Miami Cop Who Shot Charles Kinsey Charged With Attempted Manslaughter,12-04-2017,23:42:20,61,18
168,Cocaine Cowboy Caught In Orlando After 26 Years On The Run,13-04-2017,06:38:08,15,3
169,Minneapolis Muslims protest sharia vigilante in Cedar-Riverside area,13-04-2017,06:28:14,16,4
170,"Two Illinois men arrested for allegedly supporting ISIS, DOJ says",13-04-2017,02:30:09,34,10
171,Iowa man charged after 4-year-old boy kills self with gun.,13-04-2017,03:43:39,26,31
172,"Missing Cottage Grove woman found Wednesday, chilled but alive",13-04-2017,07:49:30,12,0
173,"Oklahoma City man pleads guilty to killing 18-day-old infant, repeatedly raping 13-year-old girl",13-04-2017,00:14:49,41,25
174,Mullin says he  not constituents  pays his own salary through taxes,12-04-2017,14:46:47,232,65
175,Vatican names pro-gay Fr. James Martin as communications consultant,12-04-2017,21:46:20,64,20
176,Montreal trailblazer in HIV/AIDS research dies in Florida,13-04-2017,02:26:16,24,5
177,Jury: Anti-gay Brunswick pastor guilty of 8 counts of child molestation,12-04-2017,00:31:15,3161,312
178,A small-town Iowa newspaper with a staff of 10 people - most of whom are related to each other  has won a Pulitzer Prize for taking on powerful agricultural companies over farm pollution.,11-04-2017,18:45:57,65794,1381
179,An elementary school in Florida is accused of punishing young special needs students by putting them in a so-called discipline box made partially of drywall.,12-04-2017,21:59:24,54,35
180,"Airbnb signs dozens more tax agreements in the U.S., France",13-04-2017,12:02:45,5,0
181,Maryland lawmakers approve bill to fight drug price-gouging,12-04-2017,18:52:06,95,3
182,Fire burns under railroad bridge in Atlanta,13-04-2017,15:35:39,2,1
183,Mobile phone motion sensors can be used to crack your PIN,13-04-2017,02:19:58,22,10
184,AP Exclusive: UN child sex ring left victims but no arrests,12-04-2017,17:09:17,113,9
185,Judge sacked for trolling people on online,12-04-2017,18:50:26,81,16
186,AP Exclusive: UN child sex ring left victims but no arrests,13-04-2017,01:50:23,22,2
187,Dogs Amazing Escape from Shelter Caught on Tape,12-04-2017,21:54:07,45,8
188,BBC antiques expert died after postpartum psychotic episode,13-04-2017,02:33:56,17,18
189,Professional wrestler Kane making bid for mayor in Tennessee,12-04-2017,17:22:30,95,39
190,Investigation finds inmates built computers and hid them in ceiling at Marion Prison,12-04-2017,14:24:40,166,39
191,Illinois woman admits plotting massacre at Halifax Shopping Centre,13-04-2017,07:11:59,6,2
192,No charges for California police who fatally shot Guatemalan.,13-04-2017,03:35:10,14,6
193,Man wrongfully convicted in 1957 cold case murder declared innocent,13-04-2017,01:13:03,21,5
194,Worst wildfire season in years prompts a state of emergency in Florida,13-04-2017,06:36:03,7,1
195,Newlyweds both contract brain-invading parasite during honeymoon,12-04-2017,17:58:37,68,20
196,Police remove evidence from Waikiki unit where human remains found,13-04-2017,04:05:22,13,0
197,Notice to the media: Government of Canada to make an important announcement,12-04-2017,23:22:05,25,14
198,"Texas teacher had sex with 17-year-old softball player about 10 times, police say",12-04-2017,22:39:45,28,61
199,Missing skier found dead near Snoqualmie Pass,13-04-2017,07:49:04,6,3
200,Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%,14-04-2017,16:49:11,13969,1520
201,British Woman Stabbed to Death in Israel,14-04-2017,15:50:45,429,206
202,Muslim woman stabbed and beaten after attacker tries to tear off her hijab,14-04-2017,07:09:47,1041,484
203,US drops largest non-nuclear bomb in Afghanistan in area populated by Isis members,13-04-2017,20:43:28,52689,13447
204,"Lawyer says passenger dragged from United flight suffered significant concussion, broken nose and lost two front teeth",13-04-2017,19:23:03,13068,2204
205,"Georgia officer fired after kicking man in head during traffic stop, police say",14-04-2017,01:11:49,1272,124
206,NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates,13-04-2017,16:17:40,13296,6566
207,Musk says Tesla set to unveil semi truck in September,13-04-2017,22:00:02,1663,411
208,"Judge praises former LDS bishop, while sentencing him for rape, as victim listens",14-04-2017,17:52:03,41,12
209,Trump signs law targeting funding for abortion providers/Planned Parenthood,13-04-2017,22:20:24,1363,880
210,College Student Says All My Bones Were Shattering in My Face as She Was Body-Slammed by Cop,14-04-2017,05:57:19,313,321
211,"Drunk harassed N.J. mom on flight, but United kept booze flowing, report says",13-04-2017,16:50:22,3745,306
212,Black Lives Matter release video of police dragging man from his car and kicking him in the face,13-04-2017,15:58:02,3631,1299
213,Vaccination rate jumps in California after tougher inoculation law,13-04-2017,23:32:20,762,139
214,Manhunt suspect Joseph Jakubowski caught and arrested,14-04-2017,17:12:15,25,2
215,Experimental rocket explosion injures 4 at University of Idaho,14-04-2017,11:42:52,59,5
216,Air China to suspend Beijing-Pyongyang flights: Chinese state TV,14-04-2017,17:45:40,19,16
217,Court: Woman raped in state hospital cant sue for damages,13-04-2017,19:06:58,1117,195
218,"Law enforcement officers may be illegally selling guns, ATF says",13-04-2017,15:51:37,1790,263
219,U.S. may launch strike if North Korea reaches for nuclear trigger,14-04-2017,03:54:11,188,170
220,A Delaware judge on Thursday convicted a 17-year-old girl charged with homicide after a school bathroom fight that left a 16-year-old girl dead.,13-04-2017,18:04:27,1084,255
221,"Tesla Inks 1.3million sqft Warehouse Lease Deal, now the Biggest Industrial Lease Deal In San Francisco Bay Area History",14-04-2017,09:55:03,48,9
222,US Sikhs Launch Ad Campaign That Looks to Push Back on Hate,13-04-2017,21:00:25,467,99
223,Scorpion stings man on United Airlines flight,13-04-2017,17:22:18,888,169
224,"Golden Gate Bridge suicide barriers going up after 1,500 deaths",14-04-2017,17:28:35,11,11
225,"US lakes soaking up road salt, some heading toward toxic levels",14-04-2017,00:10:32,239,40
226,Choate prep school investigation uncovers decades of sexual abuse,14-04-2017,18:19:42,7,0
227,36 ISIS fighters killed by US mother of all bombs: Afghan official,14-04-2017,10:24:27,28,53
228,Texas issues mumps advisory: Cases reach 20-year high,14-04-2017,18:39:43,5,1
229,Nintendeo has discontinued the NES classic mini in North America,13-04-2017,23:38:58,171,87
230,First African-American Woman to Serve on States Highest Court Found Dead in Hudson River,13-04-2017,03:45:06,36974,3885
231,Melbourne milk bar bans black teenagers,14-04-2017,10:30:26,27,36
232,"Passengers with smartphones are better than any new airline regulation, says ex-Virgin America chairman",14-04-2017,00:07:44,155,27
233,Quotes from North Korean official about tensions with US,14-04-2017,11:07:45,20,20
234,Texas student commits suicide after Title IX kangaroo court,13-04-2017,09:13:25,2271,835
235,Microsoft says U.S. foreign intelligence surveillance requests more than doubled,14-04-2017,02:48:50,82,2
